timestamp,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_direction_10m,location,source
2026-01-09T00:00,17.3,46,1017.1,8.2,302,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T01:00,17.4,51,1017.3,10.3,303,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T02:00,17.0,66,1016.6,11.5,300,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T03:00,17.0,73,1016.8,12.4,304,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T04:00,16.7,81,1016.5,12.9,312,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T05:00,15.9,87,1016.9,13.6,309,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T06:00,15.2,88,1017.6,14.6,303,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T07:00,14.9,84,1017.8,15.1,301,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T08:00,15.4,69,1018.9,12.9,291,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T09:00,16.5,56,1019.7,13.9,270,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T10:00,17.5,50,1020.0,16.9,272,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T11:00,18.5,44,1019.5,16.4,271,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T12:00,19.2,37,1019.1,18.6,268,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T13:00,19.2,42,1018.7,18.6,273,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T14:00,19.8,41,1018.2,20.1,304,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T15:00,20.6,36,1017.9,20.8,296,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T16:00,20.4,38,1017.9,19.6,306,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T17:00,19.0,46,1018.7,15.4,313,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T18:00,17.7,51,1019.5,14.3,312,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T19:00,16.9,54,1020.4,12.9,318,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T20:00,16.3,56,1021.1,10.5,327,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T21:00,15.1,61,1021.3,4.7,328,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T22:00,13.9,67,1021.9,3.6,290,"Cairo, Egypt",Open-Meteo Archive
2026-01-09T23:00,13.2,70,1022.0,3.8,270,"Cairo, Egypt",Open-Meteo Archive
2026-01-10T00:00,12.6,74,1022.0,3.6,237,"Cairo, Egypt",Open-Meteo Archive
2026-01-10T01:00,12.2,76,1022.0,4.6,222,"Cairo, Egypt",Open-Meteo Archive
2026-01-10T02:00,13.4,70,1021.5,2.3,225,"Cairo, Egypt",Open-Meteo Archive
2026-01-10T03:00,12.4,74,1021.4,4.6,191,"Cairo, Egypt",Open-Meteo Archive
2026-01-10T04:00,11.6,77,1021.5,6.2,188,"Cairo, Egypt",Open-Meteo Archive
2026-01-10T05:00,10.9,81,1021.5,6.3,173,"Cairo, Egypt",Open-Meteo Archive
2026-01-10T06:00,10.2,84,1022.1,4.7,203,"Cairo, Egypt",Open-Meteo Archive
2026-01-10T07:00,10.1,83,1022.3,5.9,203,"Cairo, Egypt",Open-Meteo Archive
2026-01-10T08:00,11.4,77,1022.6,7.8,176,"Cairo, Egypt",Open-Meteo Archive
2026-01-10T09:00,14.1,63,1022.8,6.7,172,"Cairo, Egypt",Open-Meteo Archive
2026-01-10T10:00,16.7,53,1023.0,6.7,182,"Cairo, Egypt",Open-Meteo Archive
2026-01-10T11:00,18.6,47,1022.4,6.7,204,"Cairo, Egypt",Open-Meteo Archive
